Datalog report
05/08/2018 11:05:36
      Prog Name:    Main.xlsm
       Job Name:    Main.xlsm
            Lot:
       Operator:    Administrator
      Test Mode:
      Node Name:    IP750_CB7E
      Part Type:
    Channel map:    Channel Map
    Environment:

    Site Number:
         0

    Device#: 1

    5/8/2018 11:05:36 AM

    Wf :
    Coord : X:00 Y:00

 Number     Site  Result   Test Name                 Pin            Channel   Low            Measured       High           Force          Loc
 51          0    PASS     OS_Pch                    D1N_3          21        100.0000 mV    415.4269 mV    1.2000 V       100.0000 uA    0
 52          0    PASS     OS_Pch                    D1P_4          14        100.0000 mV    415.8999 mV    1.2000 V       100.0000 uA    0
 53          0    PASS     OS_Pch                    D1N_4          14        100.0000 mV    415.7626 mV    1.2000 V       100.0000 uA    0
 54          0    PASS     OS_Pch                    D1P_5          22        100.0000 mV    418.8754 mV    1.2000 V       100.0000 uA    0
 55          0    PASS     OS_Pch                    D1N_5          22        100.0000 mV    415.8236 mV    1.2000 V       100.0000 uA    0
 56          0    PASS     OS_Pch                    D1P_6          15        100.0000 mV    420.1724 mV    1.2000 V       100.0000 uA    0
 57          0    PASS     OS_Pch                    D1N_6          15        100.0000 mV    415.0607 mV    1.2000 V       100.0000 uA    0
 58          0    PASS     OS_Pch                    D1P_7          23        100.0000 mV    416.4492 mV    1.2000 V       100.0000 uA    0
 59          0    PASS     OS_Pch                    D1N_7          23        100.0000 mV    416.5408 mV    1.2000 V       100.0000 uA    0
 60          0    PASS     OS_Nch                    AV33BR         17        -1.2000 V      -367.8125 mV   -100.0000 mV   -100.0000 uA   0
 61          0    PASS     OS_Nch                    AV22           9         -1.2000 V      -305.6250 mV   -100.0000 mV   -100.0000 uA   0
 62          0    PASS     OS_Nch                    DV18           4         -1.2000 V      -352.5000 mV   -100.0000 mV   -100.0000 uA   0
 63          0    PASS     OS_Nch                    DV18IO         62        -1.2000 V      -330.3930 mV   -100.0000 mV   -100.0000 uA   0
 64          0    PASS     OS_Nch                    AV33SFVDD      18        -1.2000 V      -394.0625 mV   -100.0000 mV   -100.0000 uA   0
 65          0    PASS     OS_Nch                    VDDCELL        3         -1.2000 V      -312.8125 mV   -100.0000 mV   -100.0000 uA   0
 66          0    PASS     OS_Nch                    RSH            14        -1.2000 V      -420.0000 mV   -100.0000 mV   -100.0000 uA   0
 67          0    PASS     OS_Nch                    RSL            41        -1.2000 V      -450.7406 mV   -100.0000 mV   -100.0000 uA   0
 68          0    PASS     OS_Nch                    SELH           19        -1.2000 V      -418.7500 mV   -100.0000 mV   -100.0000 uA   0
 69          0    PASS     OS_Nch                    TGH            21        -1.2000 V      -418.1250 mV   -100.0000 mV   -100.0000 uA   0
 70          0    PASS     OS_Nch                    VCOM_T         2         -1.2000 V      -400.3125 mV   -100.0000 mV   -100.0000 uA   0
 71          0    PASS     OS_Nch                    VCOM_B         23        -1.2000 V      -402.5000 mV   -100.0000 mV   -100.0000 uA   0
 72          0    PASS     OS_Nch                    VREFP_T        0         -1.2000 V      -325.0000 mV   -100.0000 mV   -100.0000 uA   0
 73          0    PASS     OS_Nch                    VREFP_B        12        -1.2000 V      -323.7500 mV   -100.0000 mV   -100.0000 uA   0
 74          0    PASS     OS_Nch                    VREFN_T        1         -1.2000 V      -322.8125 mV   -100.0000 mV   -100.0000 uA   0
 75          0    PASS     OS_Nch                    VREFN_B        13        -1.2000 V      -322.5000 mV   -100.0000 mV   -100.0000 uA   0
 76          0    PASS     OS_Nch                    VRPGA_T        16        -1.2000 V      -417.8125 mV   -100.0000 mV   -100.0000 uA   0
 77          0    PASS     OS_Nch                    VRPGA_B        15        -1.2000 V      -419.6875 mV   -100.0000 mV   -100.0000 uA   0
 78          0    PASS     OS_Nch                    VCOMB_T        11        -1.2000 V      -418.7772 mV   -100.0000 mV   -100.0000 uA   0
 79          0    PASS     OS_Nch                    VCOMB_B        45        -1.2000 V      -419.9344 mV   -100.0000 mV   -100.0000 uA   0
 80          0    PASS     OS_Nch                    VREFPB_T       14        -1.2000 V      -424.8446 mV   -100.0000 mV   -100.0000 uA   0
 81          0    PASS     OS_Nch                    VREFPB_B       44        -1.2000 V      -425.5014 mV   -100.0000 mV   -100.0000 uA   0
